Country,States,Cases,Deaths,Latitude,Longitude
US,Alabama,543405,11146,32.806671,-86.79113
US,Alaska,70208,369,61.370716,-152.404419
US,Arizona,880466,17628,33.729759,-111.431221
US,Arkansas,341290,5830,34.969704,-92.373123
US,California,3788713,63236,36.116203,-119.681564
US,Colorado,542405,6576,39.059811,-105.311104
US,Connecticut,347341,8238,41.597782,-72.755371
US,Delaware,108770,1661,39.318523,-75.507141
US,District of Columbia,48898,1132,38.897438,-77.026817
US,Florida,2320818,36774,27.766279,-81.686783
US,Georgia,1123343,20837,33.040619,-83.643074
US,Hawaii,36124,499,21.094318,-157.498337
US,Idaho,192012,2090,44.240459,-114.478828
US,Illinois,1380978,25166,40.349457,-88.986137
US,Indiana,743338,13615,39.849426,-86.258278
US,Iowa,371331,6055,42.011539,-93.210526
US,Kansas,315331,5077,38.5266,-96.726486
US,Kentucky,458275,6782,37.66814,-84.670067
US,Louisiana,470685,10576,31.169546,-91.867805
US,Maine,67658,825,44.693947,-69.381927
US,Maryland,459528,9599,39.063946,-76.802101
US,Massachusetts,706783,17868,42.230171,-71.530106
US,Michigan,991941,20376,43.326618,-84.536095
US,Minnesota,601105,7511,45.694454,-93.900192
US,Mississippi,317407,7310,32.741646,-89.678696
US,Missouri,606075,9496,38.456085,-92.288368
US,Montana,111785,1613,46.921925,-110.454353
US,Nebraska,223304,2249,41.12537,-98.268082
US,Nevada,323748,5586,38.313515,-117.055374
US,New Hampshire,98699,1352,43.452492,-71.563896
US,New Jersey,1015889,26201,40.298904,-74.521011
US,New Mexico,202821,4263,34.840515,-106.248482
US,New York,2101055,53269,42.165726,-74.948051
US,North Carolina,1001154,13078,35.630066,-79.806419
US,North Dakota,109915,1543,47.528912,-99.784012
US,Ohio,1101557,19861,40.388783,-82.764915
US,Oklahoma,452777,7291,35.565342,-96.928917
US,Oregon,201005,2666,44.572021,-122.070938
US,Pennsylvania,1202912,27190,40.590752,-77.209755
US,Rhode Island,151743,2708,41.680893,-71.51178
US,South Carolina,592912,9728,33.856892,-80.945007
US,South Dakota,124162,2010,44.299782,-99.438828
US,Tennessee,862401,12441,35.747845,-86.692345
US,Texas,2952861,51491,31.054487,-97.563461
US,Utah,405851,2301,40.150032,-111.862434
US,Vermont,24200,255,44.045876,-72.710686
US,Virginia,675165,11160,37.769337,-78.169968
US,Washington,435849,5765,47.400902,-121.490494
US,West Virginia,161287,2792,38.491226,-80.954453
US,Wisconsin,674003,7830,44.268543,-89.616508
US,Wyoming,60144,719,42.755966,-107.30249
